site,location,land cover type,day of year,time of day,value,reference,remarks
example,London,built-up surface,10,13:00,0.1,[Kotthaus et al (2014)](https://www.sciencedirect.com/science/article/pii/S0924271614001233#),a sample concrete slab
US-Bo1, Bondville IL, croplands, yearly average albedo, 0.229, [Yang et al (2008)] (journals.ametsoc.org/doi/pdf/10.1175/2008JAMC1843.1), yearly average for Bondville Site in Illinois
